CATALOG NUMBER,IDENTIFICATION,ORDER,FAMILY,GENUS,SPECIES,SUBSPECIES,COUNTRY,STATE,COUNTY,PRECISE LOCALITY,OCEAN,ISLAND GROUP,ISLAND,LATITUDE,LONGITUDE,COLLECTOR(S),COLLECTING DATE FROM,COLLECTING DATE TO,COLLECTORS NUMBER,SEX,AGE,PREPS
SKIN 701166,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Near Kingston, Norfolk I.",,,,,,"Roy Bell
Mathews",07 Apr 1913,,-926,Female,,Skin 
SKIN 701167,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Near Kingston, Norfolk I.",,,,,,"Roy Bell
Mathews",04 May 1913,,-911,Female,,Skin 
SKIN 701168,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Near Dixey, Norfolk I.",,,,,,"Roy Bell
Mathews",25 Apr 1913,,-999,Female,,Skin 
SKIN 701169,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Dixey, Norfolk I.",,,,,,"Roy Bell
Mathews",25 Apr 1913,,-998,Female,,Skin 
SKIN 701170,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Dixey, Norfolk I.",,,,,,"Roy Bell
Mathews",24 Feb 1913,,-681,Female,,Skin 
SKIN 701171,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Dixey, Norfolk I.",,,,,,"Roy Bell
Mathews",24 Feb 1913,,-680,Male,,Skin 
SKIN 701172,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Dixey, Norfolk I.",,,,,,"Roy Bell
Mathews",25 Apr 1913,,-1001,Male,,Skin 
SKIN 701173,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Dixey, (Stockyard Creek) Norfolk I.",,,,,,"Roy Bell
Mathews",31 Dec 1912,,-419,Female,,Skin 
SKIN 701174,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Dixey, (Stockyard Creek) Norfolk I.",,,,,,"Roy Bell
Mathews", Dec 1912,,-422,Male,,Skin 
SKIN 701175,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Middlegate, Norfolk I.",,,,,,"Roy Bell
Mathews",07 Jun 1913,,-,Male,,Skin 
SKIN 701176,Zosterops lateralis lateralis,Passeriformes,Zosteropidae,Zosterops,lateralis,lateralis,E. of Australia,,,"Steels Point, Norfolk I.",,,,,,"Roy Bell
Mathews",20 Jan 1913,,-537,Female,,Skin 
